"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","external side of plasma membrane","163/6019","388/19650",1.11635816951745e-06,5.58179084758727e-05,4.89630776104146e-05,"S1PR1/F3/VCAM1/CD2/SELE/SELL/ASTN1/SLAMF7/SELP/CD244/CD34/ECE1/FCGR1A/TNFRSF14/ITGA10/SLAMF1/FCGR2B/SLAMF6/CD84/IL23R/PTPRC/IL6R/FASLG/FCGR3A/KCNJ3/ITGB6/ACKR3/IL1R1/IL1RL1/SLC4A3/ITGA6/CXCR4/CXCR2/COLEC11/HYAL2/CD80/TGFBR2/CCR4/IL5RA/CCR1/CCR2/CCRL2/CCR3/CD86/CCR5/CCR8/CX3CR1/CD200R1/CCR9/XCR1/ADGRA3/ANXA5/KIT/ENPEP/ITGA2/PRLR/BTNL9/LIFR/BTNL3/CD74/IL12B/IL31RA/OSMR/CD83/ULBP3/RAET1L/ULBP1/HLA-F/HLA-E/MICA/ULBP2/BTN1A1/HLA-C/RAET1E/HLA-B/TNF/HLA-A/PLG/CD36/ABCB1/TFR2/MUC17/NRCAM/RS1/TLR8/GPIHBP1/ABCA1/CNTFR/CD274/FCN1/B4GALT1/ENG/CD248/FOLR1/MCAM/MS4A1/CD3D/CD3G/CD59/F2/GFRA1/IDE/CXCL12/CLEC4D/SLC38A1/ITGA5/LAG3/STAB2/CD27/CLEC4C/CD163/CLEC2D/ITGA7/LAMP1/F10/SERPINA5/ADAM20/CD276/ANPEP/MFGE8/SEMA7A/THBS1/SCNN1B/SLC7A5/CD19/SPN/ITGAM/ITGAX/ITGAD/ITGAL/CDH13/IL4R/IL21R/CDH5/ATP1B2/P4HB/CLEC10A/ASGR1/DNAI2/ASGR2/ITGAE/CA4/CD226/CHRNA4/PRNP/CD40/GFRA4/THBD/PLAUR/CLEC17A/ICAM1/IL12RB1/RTBDN/CD33/LILRB1/CEACAM21/BCAM/LDLR/ADGRE1/IL3RA/TCN2/UMODL1/ICOSLG",163
"GO:0000786","nucleosome","67/6019","133/19650",1.46114163466304e-06,6.84910141248299e-05,6.00798369516052e-05,"H3-3A/H3C13/H2AC20/H2AC21/H3-7/H3C15/H2AC19/H4C14/H3C14/H2BC26/CENPA/H1-10/H2AZ1/SLF1/H1-1/H3C1/H4C1/H3C2/H2AC4/H2BC3/H3C3/H1-2/H1-4/H2BC6/H4C4/H2AC15/H2AC16/H1-5/H3C11/H4C13/H3C12/H2AC17/H2BC17/H2AC6/H2AC7/H1-3/H4C6/H3C7/H2BC10/H4C3/H4C8/H3C6/H2BC14/H4C11/H4C12/H3C10/H2AC13/H2BC8/H2BC13/H2BC15/H2BC7/H2BC9/H3C8/H4C2/H4C5/H2BC5/H2BC11/H2AC11/H4C9/H2AC12/SHPRH/H2AC8/ACTB/H2AX/H2AJ/H4C16/TNP2",67
"GO:0015934","large ribosomal subunit","60/6019","116/19650",1.66659910584777e-06,7.35264311403427e-05,6.44968694213532e-05,"MRPL37/RPL5/RPL22/RPLP0P6/MRPL19/RPL31/MRPL35/RPL37A/MRPL44/RPL29/RPL32/NSUN3/RPL14/RPL24/RPL15/MRPL1/RPL34/MRPL36/MRPS30/NPM1/RPL37/RPL7L1/RPL10A/RPL36A/RPL10/RPL39/RPL30/MRPL13/RPL7/RPL8/RPL12/RPL7A/RPLP2/MRPL23/RPL27A/MRPL42/RPL41/RPL6/RPLP0/RPL21/RPL36AL/RPLP1/RPL4/RPL13/RSL1D1/RPL26/RPL23A/RPL19/MRPL27/MRPL58/RPL38/RPL17/RPL28/MRPL4/RPL18/RPL13A/RPL36/RPL18A/RPL3/SNU13",60
"GO:0032432","actin filament bundle","44/6019","78/19650",1.99699671058502e-06,8.32081962743758e-05,7.29896458547156e-05,"ACTL8/ACTA1/ROR1/FBLIM1/FHL3/XIRP2/VIL1/FAM107A/MYLK/XIRP1/SEPTIN11/PALLD/PDLIM3/SYNPO/PDLIM4/PDLIM7/ABLIM3/FSCN1/TRIP6/ZYX/SH2B2/SHROOM4/TEK/CRYAB/ILK/BAG3/PDLIM1/ABLIM1/SORBS1/ACTA2/PXN/LIMA1/ACTN1/FERMT2/MYH6/MYH7/TPM1/SEPTIN12/MYL12A/MYL12B/MYL9/CNN2/TPM4/MYH9",44
"GO:0042641","actomyosin","43/6019","76/19650",2.33665101732105e-06,9.2236224367936e-05,8.09089687438035e-05,"ACTL8/ACTA1/ROR1/FBLIM1/FHL3/XIRP2/FAM107A/MYLK/XIRP1/SEPTIN11/PALLD/PDLIM3/SYNPO/PDLIM4/PDLIM7/ABLIM3/FSCN1/TRIP6/ZYX/SH2B2/SHROOM4/TEK/ILK/BAG3/PDLIM1/ABLIM1/SORBS1/ACTA2/PXN/LIMA1/ACTN1/FERMT2/MYH6/MYH7/TPM1/SEPTIN12/MYO18A/MYL12A/MYL12B/MYL9/CNN2/TPM4/MYH9",43
"GO:0015629","actin cytoskeleton","200/6019","500/19650",4.1788519362515e-06,0.000156706947609431,0.000137462234745115,"ACTL8/CNN3/VCAM1/CTTNBP2NL/RHOU/TAGLN2/KNCN/GBP1/ACTA1/HSPB7/ROR1/LAD1/IPP/FBLIM1/SCNN1D/WASF2/NEXN/ABL2/ACTN2/CLIC4/FHL3/LMOD1/EFR3B/CDC42EP3/MPP4/NEB/XIRP2/POTEI/VIL1/CATIP/SPTBN1/ADAM17/BIN1/RAB5A/FAM107A/ARPC4/KALRN/MYH15/MYLK/IQCG/XIRP1/SHROOM3/KLHL2/SEPTIN11/FHDC1/ARSJ/PALLD/PDLIM3/MYO10/CTNNA1/SYNPO/FYB1/PDLIM4/DIAPH1/PDLIM7/ABLIM3/AFAP1L1/CENPQ/WASF1/AIF1/EEF1A1/CNR1/DUSP22/FYN/SCIN/AMPH/BAIAP2L1/MYO1G/DENND2A/MYH16/ACTB/FSCN1/WASL/TRIP6/ZYX/PTPN12/ARHGEF5/ARPC1B/SH2B2/AUTS2/COBL/TNS3/ANLN/ARHGAP6/SHROOM4/GDPD2/DLC1/DCTN6/CALB1/DMTN/ARC/MSRA/TMOD1/ANXA1/TPM2/TEK/AIF1L/CD274/WHRN/GSN/ABL1/AHNAK/BARX2/CRYAB/LSP1/SWAP70/PARVA/ILK/TNNI2/JAM3/TNNT3/BAG3/VCL/SYNPO2L/PDLIM1/IFIT5/C10orf90/ABLIM1/SORBS1/PKD2L1/ACTA2/BIN2/RAPGEF3/MYO1A/CORO1C/KNTC1/DCTN2/ARPC3/RND1/PXN/LIMA1/SPRY2/DIAPH3/GJB6/INTS6/ATP12A/FLT1/INF2/ACTN1/SIPA1L1/HNRNPC/CFL2/FERMT2/MYH6/MYH7/BMF/CIB2/AKAP13/MYO5A/VPS18/PSTPIP1/CGNL1/CORO2B/TPM1/BCAR1/COTL1/SEPTIN12/ALDOA/MYH11/PRKCB/CORO1A/ACACA/RARA/MPRIP/SMTNL2/ACTG1/LLGL2/USH1G/GABARAP/BAIAP2/MYO18A/NHERF1/YES1/CDH2/ONECUT2/MYL12A/MYL12B/DSTN/MYL9/HCK/NCOA5/BPIFB4/SNAP25/CNN2/MYO1F/FOXA3/CNN1/SPPL2B/MYADM/ARHGAP33/ARHGAP35/ACTN4/TPM4/TRIOBP/PARVG/MYO18B/CLDN5/MYH9/RAC2/SMTN",200
"GO:0062023","collagen-containing extracellular matrix","174/6019","429/19650",6.61545948697862e-06,0.000236266410249237,0.000207251237060734,"SDC3/ANGPTL3/COL24A1/F3/LAMC1/LAMC2/NID1/LAMB3/USH2A/ADAMTS4/CCN1/TINAGL1/ADAMTSL4/MYOC/COL8A2/S100A6/ANGPTL1/COL16A1/LAD1/C1QA/C1QC/C1QB/PRELP/FMOD/COL11A1/TNR/SPP2/FN1/SNORC/SERPINE2/VIT/IMPG2/COL8A1/ADAMTS9/P3H2/ADIPOQ/LRRC15/LAMB2/AHSG/HRG/COL7A1/KNG1/MST1/COL6A6/OTOL1/COL6A5/ITIH1/CLEC3B/TGM4/ABI3BP/ANXA5/SPARCL1/COL25A1/PF4/SOD3/ADAMTS3/FGF10/EGFLAM/TGFBI/ADAM19/COL23A1/COL19A1/COL10A1/EYS/SERPINB9/F13A1/COL12A1/CCN2/SMOC2/DST/PLG/SERPINE1/PTPRZ1/ZP3/PCOLCE/ACHE/MUC17/AMELX/SRPX/NDP/TIMP1/EGFL6/GPC3/CCN3/MATN2/SFRP1/ANGPT2/COL14A1/CTHRC1/ADAMDEC1/IL7/ANXA1/COL27A1/OGN/ASPN/ENTPD2/LAMC3/FREM1/IGFBPL1/ECM2/TNC/FCN1/MMP8/SERPINH1/MUC2/EFEMP2/SERPING1/APOA1/LTBP3/MDK/HPX/NAV2/ADAMTS8/F2/ITIH2/ITIH5/GDF10/ANXA8/LOXL4/COL17A1/ACTA2/CXCL12/KRT1/PZP/A2M/DCN/VWF/HSP90B1/ADAMTS20/GPC6/SERPINA5/SERPINA3/SERPINA1/HSP90AA1/FBLN5/LMAN1L/ANXA2/HAPLN3/GREM1/MFGE8/SEMA7A/THBS1/SPN/TGFB1I1/ZG16/CDH13/SERPINF2/MFAP4/APOH/TIMP2/CDH2/LAMA1/SERPINB8/LAMA5/SLPI/COL9A3/COL20A1/EMILIN3/SSC5D/ICAM1/ANGPTL4/LTBP4/TGFB1/RTBDN/COMP/BCAM/ADAMTS10/HNRNPM/FBLN1/ADAMTS5/COL18A1/ADAMTS1/COL6A1/COL6A2",174
"GO:0000775","chromosome, centromeric region","112/6019","258/19650",8.86952301557818e-06,0.000302370102803802,0.000265236932284037,"GTF2B/FIRRM/NUF2/NEK2/NSL1/CENPS/KIF2C/PLK3/ITGB3BP/H3-3A/PSEN2/CENPL/H4C14/CENPF/CDCA8/SMC6/HJURP/SPC25/BUB1/XPO1/CENPO/GPATCH11/SGO2/CENPA/SGO1/CHMP2B/CENPC/MAD2L1/ZNF330/NCAPG/CENPU/CENPE/PLK2/PPP2CA/APC/CENPQ/TTK/H4C1/H2AC4/H4C4/H4C13/H4C6/H4C3/NUP43/H4C8/H4C11/H4C12/H4C2/H4C5/H2BC11/H4C9/H2AC8/DAXX/ACTB/ACTL6B/MAD1L1/IKZF1/CENPI/PHF6/SUV39H1/ERCC6L/DCTN6/MTBP/HSF1/PPP2CB/ESCO2/PINX1/KDM4C/PHF2/KIF18A/CDCA5/ZW10/NUP98/CKAP5/ZWINT/BUB3/HELLS/SYCP3/DYNLL1/KNTC1/CBX5/DCTN2/H4C16/SUGT1/SKA3/REC8/BAZ1A/PSEN1/BUB1B/KNL1/CFDP1/PLK1/CENPT/ZNF276/SMARCE1/TOP2A/NDEL1/SPAG5/SKA2/BIRC5/CHMP6/CENPX/SKA1/NDC80/CHMP1B/SNAI1/DSN1/CHMP4B/AURKA/CEBPB/SPC24/SMARCB1",112
"GO:0045121","membrane raft","122/6019","286/19650",1.0057187188697e-05,0.000327951756153162,0.000287676979081721,"SLC9A1/PLPP3/LRP8/S1PR1/CD48/SELE/ITLN1/ATP1A1/STX12/PSEN2/PDPN/EFHD2/KCNA3/PTPRC/FASLG/BCL10/CD55/TNR/PIKFYVE/TFPI/MALL/CAVIN2/ADAM17/RAB5A/HYAL2/CBLB/TGFBR2/MME/EPHB1/CTNNB1/HPSE/TLR1/TLR6/ADCY2/PLPP1/CTNNA1/PPP2CA/RGMB/TREM2/DLL1/CNR1/SMPD2/TNF/FYN/GJA1/CD36/CAV2/CAV1/LAT2/EGFR/ADCYAP1R1/EFNB1/BTK/DMD/GPM6B/DLC1/LYN/SDCBP/LY6K/HAS2/TNFRSF10A/ERLIN2/ARC/STOM/TEK/EEIG1/ABCA1/AHNAK/KIF18A/SERPINH1/KCNE3/RTN4RL2/MS4A4A/SLC22A6/TPP1/MS4A1/GAB2/CAVIN3/STIM1/SLC1A2/UNC5B/SORBS1/PI4K2A/OLR1/MYO1A/LDHB/CORO1C/SCARB1/GLIPR1L1/TUBA1C/NOS1/TNFRSF1A/AKAP5/PSEN1/CHRNA3/ANXA2/CD19/ITGAM/ADGRG1/CLN3/CDH13/LAT/PECAM1/CAVIN1/CD226/CDH2/PRNP/HCK/CD177/EHD2/ICAM1/FXYD1/CLIP3/MYADM/GP6/LYPD4/PRKACA/CBLC/PLVAP/PACSIN2/NFAM1/APP",122
"GO:0098857","membrane microdomain","122/6019","287/19650",1.22644833715485e-05,0.000383265105360892,0.000336197460842887,"SLC9A1/PLPP3/LRP8/S1PR1/CD48/SELE/ITLN1/ATP1A1/STX12/PSEN2/PDPN/EFHD2/KCNA3/PTPRC/FASLG/BCL10/CD55/TNR/PIKFYVE/TFPI/MALL/CAVIN2/ADAM17/RAB5A/HYAL2/CBLB/TGFBR2/MME/EPHB1/CTNNB1/HPSE/TLR1/TLR6/ADCY2/PLPP1/CTNNA1/PPP2CA/RGMB/TREM2/DLL1/CNR1/SMPD2/TNF/FYN/GJA1/CD36/CAV2/CAV1/LAT2/EGFR/ADCYAP1R1/EFNB1/BTK/DMD/GPM6B/DLC1/LYN/SDCBP/LY6K/HAS2/TNFRSF10A/ERLIN2/ARC/STOM/TEK/EEIG1/ABCA1/AHNAK/KIF18A/SERPINH1/KCNE3/RTN4RL2/MS4A4A/SLC22A6/TPP1/MS4A1/GAB2/CAVIN3/STIM1/SLC1A2/UNC5B/SORBS1/PI4K2A/OLR1/MYO1A/LDHB/CORO1C/SCARB1/GLIPR1L1/TUBA1C/NOS1/TNFRSF1A/AKAP5/PSEN1/CHRNA3/ANXA2/CD19/ITGAM/ADGRG1/CLN3/CDH13/LAT/PECAM1/CAVIN1/CD226/CDH2/PRNP/HCK/CD177/EHD2/ICAM1/FXYD1/CLIP3/MYADM/GP6/LYPD4/PRKACA/CBLC/PLVAP/PACSIN2/NFAM1/APP",122
"GO:0000793","condensed chromosome","118/6019","281/19650",3.25880165817811e-05,0.000977640497453434,0.000857579383731083,"GTF2B/FIRRM/NUF2/NEK2/NSL1/CENPS/KIF2C/PLK3/ITGB3BP/H3-3A/HORMAD1/PSEN2/MSH4/CENPL/RCC1/CENPF/SMC6/NCAPH/HJURP/SPC25/BUB1/XPO1/CENPO/TTN/GPATCH11/SGO2/CENPA/SGO1/CHMP2B/FANCD2/CENPC/MAD2L1/NCAPG/CENPU/CENPE/RAD50/PLK2/SLF1/APC/CENPQ/TTK/NUP43/NCAPG2/ACTB/ACTL6B/MAD1L1/FKBP6/FAM9B/CENPI/PHF6/SUV39H1/ERCC6L/DCTN6/MTBP/HSF1/PINX1/SMC2/SHOC1/PHF2/KIF18A/H2AX/ZW10/NUP98/CKAP5/ZWINT/BUB3/SLF2/MKI67/SYCP3/DYNLL1/KNTC1/CBX5/EID3/DCTN2/TUBA1A/CDK2/SUGT1/SKA3/BRCA2/C14orf39/ESRRB/REC8/HSPA2/PSEN1/CCNB1IP1/RAD51/BUB1B/BLM/KNL1/CFDP1/PLK1/CENPT/ZNF276/NSMCE1/SMARCE1/TOP2A/NDEL1/SPAG5/SKA2/BIRC5/CHMP6/CENPX/P3H4/BRCA1/SKA1/NDC80/CHMP1B/DSN1/CHMP4B/AURKA/CEBPB/L3MBTL1/KASH5/BRD4/AKAP8/SPC24/SUN2/SMARCB1",118
